alr_comp1,alr_comp2,coord_x,coord_y,profund_inf,profund_sup,relevo_elevacao,prop1_areia,prop2_argila,prop3_silte,marker
-0.44183275227903934,1.7047480922384253,-46.15,-19.4,90,70,1190,0.09,0.77,0.14,dados_unique_v2 - 93 rows
2.1972245773362196,0.9162907318741551,-46,-18.4,60,35,880,0.72,0.2,0.08,dados_unique_v2 - 93 rows
0.22314355131420976,2.327277705584417,-47.1666666666667,-20.7666666666667,100,70,1045,0.1,0.82,0.08,dados_unique_v2 - 93 rows
-0.3364722366212129,2.531426665422893,-47.5166666666667,-19.1833333333333,100,60,1020,0.05,0.88,0.07,dados_unique_v2 - 93 rows
1.9661128563728327,1.815289966638249,-45.9833333333333,-18.4,90,60,880,0.5,0.43,0.07,dados_unique_v2 - 93 rows
0,2.209494669928034,-47.5833333333333,-19.0166666666667,25,10,1010,0.09,0.82,0.09,dados_unique_v2 - 93 rows
-0.3184537311185346,1.9965538818740682,-47.6,-18.9666666666667,35,15,1000,0.08,0.81,0.11,dados_unique_v2 - 93 rows
1.2909841813155658,1.493925025312256,-45.9833333333333,-19.2333333333333,90,60,1090,0.4,0.49,0.11,dados_unique_v2 - 93 rows
0.22314355131420976,1.3862943611198906,-47.933708833294,-19.0169688840692,70,35,880,0.2,0.64,0.16,dados_unique_v2 - 93 rows
0.6931471805599453,2.423537703411708,-47.8333333333333,-19.0333333333333,35,18,900,0.14,0.79,0.07,dados_unique_v2 - 93 rows
0.3364722366212129,1.4508328822574619,-45.9166666666667,-19.3,80,50,1000,0.21,0.64,0.15,dados_unique_v2 - 93 rows
-1.252762968495368,2.5649493574615367,-46.9166666666667,-18.7166666666667,100,80,1130,0.02,0.91,0.07,dados_unique_v2 - 93 rows
0.4054651081081644,0.7156200364120039,-47.3333333333333,-19.0333333333333,60,30,870,0.33,0.45,0.22,dados_unique_v2 - 93 rows
-0.2876820724517809,2.3749057545736716,-46.2333333333333,-19.0833333333333,90,60,1070,0.06,0.86,0.08,dados_unique_v2 - 93 rows
0.6286086594223741,1.2163953243244932,-46.9666666666667,-18.6333333333333,48,25,830,0.3,0.54,0.16,dados_unique_v2 - 93 rows
0.31845373111853476,0.5831462853456169,-47.25,-18.8666666666667,70,25,900,0.33,0.43,0.24,dados_unique_v2 - 93 rows
0.5705448584676129,1.5939337258981352,-46.45,-19.4166666666667,43,23,935,0.23,0.64,0.13,dados_unique_v2 - 93 rows
0.20067069546215124,2.184802057337662,-48.9666666666667,-19.1166666666667,90,60,1090,0.11,0.8,0.09,dados_unique_v2 - 93 rows
-0.09531017980432477,1.971552579668651,-46.4,-19.7,40,20,1230,0.1,0.79,0.11,dados_unique_v2 - 93 rows
-1.6739764335716716,0.661398482245365,-47.1333333333333,-18.3666666666667,50,20,900,0.06,0.62,0.32,dados_unique_v2 - 93 rows
0.2318016140573242,0.7357067949787413,-47.8337045094479,-19.0336360244422,44,25,900,0.29,0.48,0.23,dados_unique_v2 - 93 rows
0.9718605830289658,1.2527629684953678,-46.4059890698639,-19.8226970847984,40,20,1110,0.37,0.49,0.14,dados_unique_v2 - 93 rows
0.6131044728864088,1.5781853689299958,-46.6166666666667,-19.5666666666667,45,20,983,0.24,0.63,0.13,dados_unique_v2 - 93 rows
0.24116205681688824,1.91959284073794,-47.5833333333333,-19.6666666666667,80,20,1035,0.14,0.75,0.11,dados_unique_v2 - 93 rows
-0.48550781578170077,1.8044984950054848,-46.1333333333333,-19.6,100,70,1180,0.08,0.79,0.13,dados_unique_v2 - 93 rows
